web_scraper_order,web_scraper_start_url,date,open,high,low,close_close_price_adjusted_for_splits,adj_close_adjusted_close_price_adjusted_for_splits_and_dividend_andor_capital_gain_distributions,volume
"1765972192-220","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Jan 16, 2025","6,075.00","6,200.00","5,850.00","5,875.00","5,337.97","204,359,900"
"1765972192-221","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Jan 15, 2025","5,475.00","5,825.00","5,450.00","5,750.00","5,224.40","194,025,700"
"1765972192-222","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Jan 14, 2025","5,425.00","5,575.00","5,400.00","5,400.00","4,906.39","97,351,900"
"1765972192-223","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Jan 13, 2025","5,500.00","5,550.00","5,475.00","5,525.00","5,019.97","99,953,900"
"1765972192-224","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Jan 10, 2025","5,750.00","5,775.00","5,600.00","5,600.00","5,088.11","77,751,500"
"1765972192-225","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Jan 9, 2025","5,725.00","5,775.00","5,700.00","5,750.00","5,224.40","56,491,700"
"1765972192-226","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Jan 8, 2025","5,600.00","5,750.00","5,600.00","5,750.00","5,224.40","118,246,100"
"1765972192-227","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Jan 7, 2025","5,600.00","5,650.00","5,550.00","5,600.00","5,088.11","96,982,300"
"1765972192-228","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Jan 6, 2025","5,825.00","5,825.00","5,650.00","5,675.00","5,156.26","68,443,700"
"1765972192-229","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Jan 3, 2025","5,850.00","5,875.00","5,775.00","5,800.00","5,269.83","58,067,100"
"1765972192-230","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Jan 2, 2025","5,700.00","5,850.00","5,700.00","5,850.00","5,315.26","82,914,600"
"1765972192-231","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 30, 2024","5,675.00","5,750.00","5,650.00","5,700.00","5,178.97","96,782,100"
"1765972192-232","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 27, 2024","5,750.00","5,850.00","5,750.00","5,800.00","5,269.83","46,126,800"
"1765972192-233","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 24, 2024","5,825.00","5,875.00","5,750.00","5,750.00","5,224.40","41,240,900"
"1765972192-234","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 23, 2024","5,800.00","5,875.00","5,725.00","5,825.00","5,292.54","82,910,100"
"1765972192-235","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 20, 2024","5,675.00","5,750.00","5,625.00","5,675.00","5,156.26","148,568,600"
"1765972192-236","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 19, 2024","5,625.00","5,725.00","5,600.00","5,675.00","5,156.26","277,793,000"
"1765972192-237","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 18, 2024","5,925.00","6,000.00","5,775.00","5,825.00","5,292.54","153,164,600"
"1765972192-238","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 17, 2024","6,050.00","6,075.00","5,925.00","5,950.00","5,406.12","72,109,300"
"1765972192-239","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 16, 2024","5,900.00","6,100.00","5,900.00","6,075.00","5,519.69","105,375,900"
"1765972192-240","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 13, 2024","6,025.00","6,100.00","5,975.00","6,025.00","5,474.26","135,581,400"
"1765972192-241","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 12, 2024","6,200.00","6,225.00","6,100.00","6,125.00","5,565.12","96,707,500"
"1765972192-242","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 11, 2024","6,300.00","6,400.00","6,300.00","6,300.00","5,724.13","62,509,600"
"1765972192-243","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 10, 2024","6,275.00","6,325.00","6,225.00","6,300.00","5,724.13","92,245,000"
"1765972192-244","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 9, 2024","6,175.00","6,375.00","6,175.00","6,375.00","5,792.27","74,220,300"
"1765972192-245","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 6, 2024","6,200.00","6,275.00","6,125.00","6,225.00","5,655.98","75,989,700"
"1765972192-246","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 5, 2024","6,350.00","6,375.00","6,150.00","6,150.00","5,587.84","69,528,700"
"1765972192-247","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 4, 2024","6,275.00","6,450.00","6,225.00","6,375.00","5,792.27","75,260,000"
"1765972192-248","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 3, 2024","6,100.00","6,275.00","6,100.00","6,275.00","5,701.41","99,509,800"
"1765972192-249","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Dec 2, 2024","6,175.00","6,250.00","5,975.00","6,000.00","5,451.55","114,555,300"
"1765972192-250","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Nov 29, 2024","6,325.00","6,375.00","6,125.00","6,150.00","5,587.84","157,628,700"
"1765972192-251","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Nov 28, 2024","6,350.00","6,525.00","6,350.00","6,450.00","5,860.41","81,883,200"
"1765972192-252","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Nov 26, 2024","6,600.00","6,600.00","6,325.00","6,400.00","5,814.98","107,194,300"
"1765972192-253","https://finance.yahoo.com/quote/BMRI.JK/history/?period1=1718582400&period2=1765972002","Nov 25, 2024","6,325.00","6,600.00","6,325.00","6,575.00","5,973.99","183,449,100"
