web_scraper_order,web_scraper_start_url,date,open,high,low,close_close_price_adjusted_for_splits,adj_close_adjusted_close_price_adjusted_for_splits_and_dividend_andor_capital_gain_distributions,volume
"1766321157-81","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Aug 6, 2025","2,800.00","2,810.00","2,730.00","2,740.00","2,740.00","10,384,600"
"1766321157-82","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Aug 5, 2025","2,750.00","2,800.00","2,750.00","2,780.00","2,780.00","13,283,300"
"1766321157-83","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Aug 4, 2025","2,730.00","2,770.00","2,720.00","2,750.00","2,750.00","9,414,000"
"1766321157-84","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Aug 1, 2025","2,730.00","2,770.00","2,720.00","2,730.00","2,730.00","10,004,700"
"1766321157-85","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jul 31, 2025","2,780.00","2,780.00","2,720.00","2,730.00","2,730.00","12,582,300"
"1766321157-86","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jul 30, 2025","2,840.00","2,840.00","2,720.00","2,770.00","2,770.00","22,131,100"
"1766321157-87","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jul 29, 2025","2,840.00","2,880.00","2,780.00","2,840.00","2,840.00","20,795,300"
"1766321157-88","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jul 28, 2025","2,890.00","2,900.00","2,840.00","2,840.00","2,840.00","14,054,600"
"1766321157-89","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jul 25, 2025","2,850.00","2,880.00","2,820.00","2,870.00","2,870.00","21,844,600"
"1766321157-90","https://finance.yahoo.com/quote/BRIS.JK/history/?period1=1714521600&period2=1764460800","Jul 24, 2025","2,760.00","2,900.00","2,750.00","2,850.00","2,850.00","58,417,700"
