web_scraper_order,web_scraper_start_url,date,open,high,low,close_close_price_adjusted_for_splits,adj_close_adjusted_close_price_adjusted_for_splits_and_dividend_andor_capital_gain_distributions,volume
"1765972550-61","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Sep 24, 2025","4,220.00","4,230.00","4,170.00","4,190.00","4,190.00","28,653,700"
"1765972550-62","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Sep 23, 2025","4,210.00","4,240.00","4,170.00","4,200.00","4,200.00","39,154,400"
"1765972550-63","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Sep 22, 2025","4,270.00","4,280.00","4,170.00","4,210.00","4,210.00","63,520,200"
"1765972550-64","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Sep 19, 2025","4,250.00","4,290.00","4,210.00","4,270.00","4,270.00","100,584,800"
"1765972550-65","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Sep 18, 2025","4,480.00","4,490.00","4,250.00","4,340.00","4,340.00","90,929,900"
"1765972550-66","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Sep 17, 2025","4,390.00","4,450.00","4,330.00","4,450.00","4,450.00","54,546,000"
"1765972550-67","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Sep 16, 2025","4,440.00","4,450.00","4,320.00","4,370.00","4,370.00","52,083,500"
"1765972550-68","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Sep 15, 2025","4,550.00","4,600.00","4,410.00","4,410.00","4,410.00","74,523,200"
"1765972550-69","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Sep 12, 2025","4,430.00","4,530.00","4,330.00","4,520.00","4,520.00","109,797,000"
"1765972550-70","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Sep 11, 2025","4,210.00","4,430.00","4,210.00","4,420.00","4,420.00","130,159,900"
"1765972550-71","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Sep 10, 2025","4,100.00","4,140.00","4,080.00","4,100.00","4,100.00","64,536,400"
"1765972550-72","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Sep 9, 2025","4,160.00","4,200.00","4,020.00","4,080.00","4,080.00","102,884,200"
"1765972550-73","https://finance.yahoo.com/quote/BBNI.JK/history/?period1=1718582400&period2=1765972360","Sep 8, 2025","4,430.00","4,440.00","4,050.00","4,180.00","4,180.00","55,687,200"
